,Name,Party,Votes,Comparative number,Region,Selected
0,"Halla-aho, Jussi",PS,30527,47105,Helsingin vp,Valitaan
1,"Andersson, Li",Vas,24404,35348,Varsinais-Suomen vp,Valitaan
2,"Häkkänen, Antti",Kok,20231,44177,Kaakkois-Suomen vp,Valitaan
3,"Haavisto, Pekka",Vihr,20159,90425,Helsingin vp,Valitaan
4,"Lepomäki, Elina",Kok,19273,114285,Uudenmaan vp,Valitaan
5,"Marin, Sanna",SDP,19087,66065,Pirkanmaan vp,Valitaan
6,"Sipilä, Juha",Kesk,16680,78208,Oulun vp,Valitaan
7,"Tavio, Ville",PS,14773,57795,Varsinais-Suomen vp,Valitaan
8,"Lindtman, Antti",SDP,14527,96962,Uudenmaan vp,Valitaan
9,"Henriksson, Anna-Maja",RKP,14481,52821,Vaasan vp,Valitaan
10,"Mykkänen, Kai",Kok,14198,57143,Uudenmaan vp,Valitaan
11,"Peltokangas, Mauri",PS,13101,42826,Vaasan vp,Valitaan
12,"Huhtasaari, Laura",PS,12986,30135,Satakunnan vp,Valitaan
13,"Harkimo, Harry",Muut,12919,24619,Uudenmaan vp,Valitaan
14,"Zyskowicz, Ben",Kok,12517,83663,Helsingin vp,Valitaan
15,"Essayah, Sari",KD,12387,17383,Savo-Karjalan vp,Valitaan
16,"Rinne, Antti",SDP,12086,48481,Uudenmaan vp,Valitaan
17,"Ohisalo, Maria",Vihr,11797,45213,Helsingin vp,Valitaan
18,"Savio, Sami",PS,11108,51778,Pirkanmaan vp,Valitaan
19,"Sarkkinen, Hanna",Vas,11103,33704,Oulun vp,Valitaan
20,"Löfström, Mats",Muut,11049,11638,Ahvenanmaan vp,Valitaan
21,"Urpilainen, Jutta",SDP,11007,33586,Vaasan vp,Valitaan
22,"Haatainen, Tuula",SDP,10871,52018,Helsingin vp,Valitaan
23,"Orpo, Petteri",Kok,10784,52420,Varsinais-Suomen vp,Valitaan
24,"Junnila, Vilhelm",PS,10753,28898,Varsinais-Suomen vp,Valitaan
25,"Kaikkonen, Antti",Kesk,10747,35197,Uudenmaan vp,Valitaan
26,"Strand, Joakim",RKP,10589,26411,Vaasan vp,Valitaan
27,"Pelkonen, Jaana",Kok,10525,41832,Helsingin vp,Valitaan
28,"Eerola, Juho",PS,10440,46189,Kaakkois-Suomen vp,Valitaan
29,"Salonen, Kristiina",SDP,10430,31455,Satakunnan vp,Valitaan
30,"Guzenina, Maria",SDP,9995,32321,Uudenmaan vp,Valitaan
31,"Risikko, Paula",Kok,9877,29523,Vaasan vp,Valitaan
32,"Meri, Leena",PS,9794,86777,Uudenmaan vp,Valitaan
33,"Nurminen, Ilmari",SDP,9703,33033,Pirkanmaan vp,Valitaan
34,"Adlercreutz, Anders",RKP,9403,49531,Uudenmaan vp,Valitaan
35,"Tuppurainen, Tytti",SDP,9398,26514,Oulun vp,Valitaan
36,"Saarikko, Annika",Kesk,9372,29747,Varsinais-Suomen vp,Valitaan
37,"Heinäluoma, Eveliina",SDP,9342,26009,Helsingin vp,Valitaan
38,"Tynkkynen, Sebastian",PS,9263,52703,Oulun vp,Valitaan
39,"Kilpi, Marko",Kok,9231,27715,Savo-Karjalan vp,Valitaan
40,"Simula, Jenna",PS,9129,26352,Oulun vp,Valitaan
41,"Ikonen, Anna-Kaisa",Kok,9103,55245,Pirkanmaan vp,Valitaan
42,"Heikkinen, Hannakaisa",Kesk,8987,50425,Savo-Karjalan vp,Valitaan
43,"Lindén, Aki",SDP,8963,49100,Varsinais-Suomen vp,Valitaan
44,"Mäkinen, Riitta",SDP,8912,29185,Keski-Suomen vp,Valitaan
45,"Kauma, Pia",Kok,8645,38095,Uudenmaan vp,Valitaan
46,"Viitanen, Pia",SDP,8489,22022,Pirkanmaan vp,Valitaan
47,"Kulmuni, Katri",Kesk,8418,29137,Lapin vp,Valitaan
48,"Skinnari, Ville",SDP,8323,49346,Hämeen vp,Valitaan
49,"Kiuru, Krista",SDP,8278,15728,Satakunnan vp,Valitaan
50,"Mäkisalo-Ropponen, Merja",SDP,8240,38230,Savo-Karjalan vp,Valitaan
51,"Kalmari, Anne",Kesk,8190,30591,Keski-Suomen vp,Valitaan
52,"Vartiainen, Juhana",Kok,8110,27888,Helsingin vp,Valitaan
53,"Hakkarainen, Teuvo",PS,8036,27817,Keski-Suomen vp,Valitaan
54,"Ranne, Lulu",PS,7875,43543,Hämeen vp,Valitaan
55,"Paatero, Sirpa",SDP,7859,59616,Kaakkois-Suomen vp,Valitaan
56,"Ollikainen, Mikko",RKP,7753,17607,Vaasan vp,Valitaan
57,"Multala, Sari",Kok,7717,28571,Uudenmaan vp,Valitaan
58,"Elomaa, Ritva ""Kike""",PS,7644,19265,Varsinais-Suomen vp,Valitaan
59,"Niikko, Mika",PS,7602,43389,Uudenmaan vp,Valitaan
60,"Leppä, Jari",Kesk,7462,40704,Kaakkois-Suomen vp,Valitaan
61,"Kanerva, Ilkka",Kok,7448,26210,Varsinais-Suomen vp,Valitaan
62,"Vestman, Heikki",Kok,7439,22857,Uudenmaan vp,Valitaan
63,"Grahn-Laasonen, Sanni",Kok,7420,39487,Hämeen vp,Valitaan
64,"Vikman, Sofia",Kok,7403,27623,Pirkanmaan vp,Valitaan
65,"Eloranta, Eeva-Johanna",SDP,7351,24550,Varsinais-Suomen vp,Valitaan
66,"Asell, Marko",SDP,7349,16516,Pirkanmaan vp,Valitaan
67,"Lehto, Rami",PS,7299,21772,Hämeen vp,Valitaan
68,"Virolainen, Anne-Mari",Kok,7246,17473,Varsinais-Suomen vp,Valitaan
69,"Filatov, Tarja",SDP,7212,24673,Hämeen vp,Valitaan
70,"Mäkelä, Jani",PS,7145,23095,Kaakkois-Suomen vp,Valitaan
71,"Koulumies, Terhi",Kok,7142,20916,Helsingin vp,Valitaan
72,"Holopainen, Mari",Vihr,7071,30142,Helsingin vp,Valitaan
73,"Kyllönen, Merja",Vas,7052,16852,Oulun vp,Valitaan
74,"Kontula, Anna",Vas,6944,24334,Pirkanmaan vp,Valitaan
75,"Mäenpää, Juha",PS,6910,21413,Vaasan vp,Valitaan
76,"Pekonen, Aino-Kaisa",Vas,6872,15172,Hämeen vp,Valitaan
77,"Arhinmäki, Paavo",Vas,6772,42753,Helsingin vp,Valitaan
78,"Kivelä, Mai",Vas,6772,21377,Helsingin vp,Valitaan
79,"Sarkomaa, Sari",Kok,6759,16733,Helsingin vp,Valitaan
80,"Berg, Kim",SDP,6727,16793,Vaasan vp,Valitaan
81,"Ojala-Niemelä, Johanna",SDP,6717,13467,Lapin vp,Valitaan
82,"Kalli, Eeva",Kesk,6713,20867,Satakunnan vp,Valitaan
83,"Wallinheimo, Sinuhe",Kok,6690,19686,Keski-Suomen vp,Valitaan
84,"Kari, Emma",Vihr,6681,22606,Helsingin vp,Valitaan
